"filename", "language", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"d:\大学\web开发基础\MyPage\AddName.asp", "HTML", 15, 0, 0, 0, 3, 18
"d:\大学\web开发基础\MyPage\AddScore.asp", "HTML", 19, 0, 0, 0, 1, 20
"d:\大学\web开发基础\MyPage\LeaderBoard.asp", "HTML", 50, 0, 0, 0, 10, 60
"d:\大学\web开发基础\MyPage\MainPage.html", "HTML", 43, 0, 0, 0, 7, 50
"d:\大学\web开发基础\MyPage\css\examMain.css", "CSS", 0, 172, 0, 0, 24, 196
"d:\大学\web开发基础\MyPage\css\examPrepared.css", "CSS", 0, 73, 0, 2, 11, 86
"d:\大学\web开发基础\MyPage\css\leaderboard.css", "CSS", 0, 33, 0, 0, 3, 36
"d:\大学\web开发基础\MyPage\css\main.css", "CSS", 0, 201, 0, 1, 37, 239
"d:\大学\web开发基础\MyPage\css\moods.css", "CSS", 0, 50, 0, 0, 10, 60
"d:\大学\web开发基础\MyPage\css\movies.css", "CSS", 0, 74, 0, 0, 11, 85
"d:\大学\web开发基础\MyPage\css\neighbors.css", "CSS", 0, 74, 0, 0, 11, 85
"d:\大学\web开发基础\MyPage\css\sports.css", "CSS", 0, 74, 0, 0, 11, 85
"d:\大学\web开发基础\MyPage\html\exam\ExamMainPage.html", "HTML", 105, 0, 0, 0, 5, 110
"d:\大学\web开发基础\MyPage\html\exam\ExamPrepared.html", "HTML", 29, 0, 0, 1, 1, 31
"d:\大学\web开发基础\MyPage\html\main\MoodsPage.html", "HTML", 30, 0, 0, 0, 4, 34
"d:\大学\web开发基础\MyPage\html\main\MoviesPage.html", "HTML", 63, 0, 0, 0, 17, 80
"d:\大学\web开发基础\MyPage\html\main\NeighborsPage.html", "HTML", 57, 0, 0, 0, 20, 77
"d:\大学\web开发基础\MyPage\html\main\SportsPage.html", "HTML", 51, 0, 0, 0, 18, 69
"d:\大学\web开发基础\MyPage\js\AddScore.js", "JavaScript", 0, 0, 3, 0, 0, 3
"d:\大学\web开发基础\MyPage\js\examMainJs.js", "JavaScript", 0, 0, 293, 0, 25, 318
"d:\大学\web开发基础\MyPage\js\examPrepare.js", "JavaScript", 0, 0, 10, 0, 0, 10
"d:\大学\web开发基础\MyPage\js\mainjs.js", "JavaScript", 0, 0, 29, 0, 4, 33
"d:\大学\web开发基础\MyPage\test\1.asp", "HTML", 7, 0, 0, 0, 3, 10
"d:\大学\web开发基础\MyPage\test\1.html", "HTML", 13, 0, 0, 0, 6, 19
"Total", "-", 482, 751, 335, 4, 242, 1814
